"Id","orgs_id","name","url","full_name","size","stargazers_count","watchers_count","language","has_issues","forks_count","open_issues_count","forks","open_issues","watchers"
58218359,"1844662","active-directory-php-graphapi-oauth2-0-access","https://api.github.com/repos/Azure-Samples/active-directory-php-graphapi-oauth2-0-access","Azure-Samples/active-directory-php-graphapi-oauth2-0-access",460,2,2,"PHP","1",2,0,"1",0,2
58476910,"1844662","active-directory-python-graphapi-oauth2-0-access","https://api.github.com/repos/Azure-Samples/active-directory-python-graphapi-oauth2-0-access","Azure-Samples/active-directory-python-graphapi-oauth2-0-access",684,1,1,"Python","1",2,0,"1",0,1
58476932,"1844662","active-directory-node-graphapi-oauth2-0-access","https://api.github.com/repos/Azure-Samples/active-directory-node-graphapi-oauth2-0-access","Azure-Samples/active-directory-node-graphapi-oauth2-0-access",25946,1,1,"JavaScript","1",3,0,"1",0,1
61230518,"1844662","active-directory-webapp-webapi-multitenant-openidconnect-aspnetcore","https://api.github.com/repos/Azure-Samples/active-directory-webapp-webapi-multitenant-openidconnect-aspnetcore","Azure-Samples/active-directory-webapp-webapi-multitenant-openidconnect-aspnetcore",2439,1,1,"C#","1",0,1,"0",1,1
61247214,"1844662","active-directory-b2c-php-webapp-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-b2c-php-webapp-openidconnect","Azure-Samples/active-directory-b2c-php-webapp-openidconnect",1322,1,1,"PHP","1",1,0,"1",0,1
61912011,"1844662","active-directory-dotnet-webapp-openidconnect-aspnetcore-v2","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore-v2","Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore-v2",528,2,2,"C#","1",1,0,"1",0,2
62092576,"2966316","active-directory-b2c-wordpress-plugin-openidconnect","https://api.github.com/repos/AzureAD/active-directory-b2c-wordpress-plugin-openidconnect","AzureAD/active-directory-b2c-wordpress-plugin-openidconnect",914,0,0,"PHP","1",3,3,"1",3,0
62155639,"1844662","active-directory-android-native-oidcandroidlib-b2c","https://api.github.com/repos/Azure-Samples/active-directory-android-native-oidcandroidlib-b2c","Azure-Samples/active-directory-android-native-oidcandroidlib-b2c",341,0,0,"Java","1",0,0,"0",0,0
62155644,"1844662","active-directory-ios-native-nxoauth2-b2c","https://api.github.com/repos/Azure-Samples/active-directory-ios-native-nxoauth2-b2c","Azure-Samples/active-directory-ios-native-nxoauth2-b2c",2720,1,1,"Objective-C","1",0,0,"0",0,1
62155739,"1844662","active-directory-dotnet-webapp-openidconnect-aspnetcore-b2c","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore-b2c","Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore-b2c",538,2,2,"C#","1",2,0,"1",0,2
62753910,"2966316","ADALLoginKit","https://api.github.com/repos/AzureAD/ADALLoginKit","AzureAD/ADALLoginKit",25,0,0,"Objective-C","1",0,0,"0",0,0
63622407,"2966316","azure-activedirectory-powershell-tokenkey","https://api.github.com/repos/AzureAD/azure-activedirectory-powershell-tokenkey","AzureAD/azure-activedirectory-powershell-tokenkey",28,1,1,"PowerShell","1",1,1,"1",1,1
64901571,"1844662","active-directory-powershell-rest-api-authentication","https://api.github.com/repos/Azure-Samples/active-directory-powershell-rest-api-authentication","Azure-Samples/active-directory-powershell-rest-api-authentication",553,0,0,"PowerShell","1",1,0,"1",0,0
